RaceDate,RaceTime,CourseName,RaceTitle,HorseName,MasterScore,RankWorst,IsLayTarget,DSLR,StrideDecay,BadDiscipline,IsLeader,Reasons,ScannedAt
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,Ddakji,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,Hill Silver,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,In Around Thehouse,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,Lone Ash Lad,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,Long Story,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,No Brainer,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,20:05,Kilbeggan,20:05 KILBEGGAN,Reafadda,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Emma's Letter,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Fanciulla Del West,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Liberate,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Miss Guinevere,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Port Darwin,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.933000
2026-08-21,15:20,Ffos Las,15:20 FFOS LAS,Korbut,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.947000
2026-08-21,15:20,Ffos Las,15:20 FFOS LAS,Likeness,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.950000
2026-08-21,15:20,Ffos Las,15:20 FFOS LAS,Reader,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.950000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Ravenglass,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.950000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Cypriot Diaspora,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.957000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Green Icon,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.960000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Kaleidoscope Eyes,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.967000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Oviedo,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.967000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Searchingtheblues,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.967000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Sofian,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.967000
2026-08-21,15:35,York,15:35 YORK,Redorange,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.967000
2026-08-21,15:35,York,15:35 YORK,Ain't Nobody,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,American Affair,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Asfoora,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Azure Angel,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Bacio,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Cover Up,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Fitzella,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Heavenly Heather,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.970000
2026-08-21,15:35,York,15:35 YORK,Jm Jungle,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Mission Central,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Night Raider,0,12,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Pershaada,0,14,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Rayevka,0,15,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Rumstar,0,16,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Starlust,0,17,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,15:35,York,15:35 YORK,Time For Sandals,0,18,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.977000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Broken Ice,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.977000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Deadheat,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.977000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Fr Gilligansvoyge,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.980000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Glendine Billy,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.980000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Gorthill,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.980000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,He Fitz In,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.980000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Joe's Turn,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.980000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Lecale's Diamond,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,One Way Traffic,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Our Zebo,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Sampoet,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Seventy Eight Team,0,12,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.983000
