RaceDate,RaceTime,CourseName,RaceTitle,HorseName,B2LScore,RankBest,IsB2LTarget,Tier,DSLR,StrideDecay,BadDiscipline,GoodSpeed,IsLeader,SpeedWords,BetModes,Signals,ScannedAt
2026-08-21,18:05,Kilbeggan,18:05 KILBEGGAN,Malikanna,2,15,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.517000
2026-08-21,18:05,Kilbeggan,18:05 KILBEGGAN,Paul Collins,2,16,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.517000
2026-08-21,18:05,Kilbeggan,18:05 KILBEGGAN,Solar Generation,2,17,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.517000
2026-08-21,18:05,Kilbeggan,18:05 KILBEGGAN,Somersby Roost,2,18,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.520000
2026-08-21,18:05,Kilbeggan,18:05 KILBEGGAN,Steps In The Sand,2,19,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.520000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Emma's Letter,4,1,True,Tier 1 EW,99,0.0,False,True,False,led,"EW,B2L,WIN",Speed(led),2026-08-21 11:25:53.523000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Fanciulla Del West,4,2,True,Tier 1 EW,99,0.0,False,True,False,"kept on, prominent","EW,B2L,WIN","Speed(kept on, prominent)",2026-08-21 11:25:53.523000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Liberate,4,3,True,Tier 2 B2L,99,0.0,False,True,False,"led, ran on, ran on strongly","EW,B2L-Consider","Speed(led, ran on, ran on strongly)",2026-08-21 11:25:53.527000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Miss Guinevere,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.527000
2026-08-21,15:45,Newmarket,15:45 NEWMARKET,Port Darwin,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.530000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Cypriot Diaspora,4,1,True,Tier 1 EW,99,0.0,False,True,False,"chased leader, pushed along","EW,B2L,WIN","Speed(chased leader, pushed along)",2026-08-21 11:25:53.533000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Kaleidoscope Eyes,4,2,True,Tier 1 EW,99,0.0,False,True,False,pushed along,"EW,B2L,WIN",Speed(pushed along),2026-08-21 11:25:53.537000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Oviedo,4,3,True,Tier 2 B2L,99,0.0,False,True,False,pushed along,"EW,B2L-Consider",Speed(pushed along),2026-08-21 11:25:53.537000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Sofian,4,4,False,Pass,99,0.0,False,True,False,"kept on, headway, good headway",,"Speed(kept on, headway, good headway)",2026-08-21 11:25:53.540000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Green Icon,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.543000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Searchingtheblues,2,6,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.547000
2026-08-21,14:45,Ffos Las,14:45 FFOS LAS,Ravenglass,0,7,False,Pass,99,0.0,True,True,False,"kept on, headway",,"Speed(kept on, headway), Discipline",2026-08-21 11:25:53.550000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Broken Ice,4,1,True,Tier 1 EW,99,0.0,False,True,False,stayed on,"EW,B2L,WIN",Speed(stayed on),2026-08-21 11:25:53.550000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Deadheat,4,2,True,Tier 1 EW,99,0.0,False,True,False,led,"EW,B2L,WIN",Speed(led),2026-08-21 11:25:53.553000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Glendine Billy,4,3,True,Tier 2 B2L,99,0.0,False,True,False,headway,"EW,B2L-Consider",Speed(headway),2026-08-21 11:25:53.557000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Gorthill,4,4,False,Pass,99,0.0,False,True,False,kept on,,Speed(kept on),2026-08-21 11:25:53.560000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,He Fitz In,4,5,False,Pass,99,0.0,False,True,False,headway,,Speed(headway),2026-08-21 11:25:53.567000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Joe's Turn,4,6,False,Pass,99,0.0,False,True,False,led,,Speed(led),2026-08-21 11:25:53.570000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Lecale's Diamond,4,7,False,Pass,99,0.0,False,True,False,"led, pushed along",,"Speed(led, pushed along)",2026-08-21 11:25:53.573000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Our Zebo,4,8,False,Pass,99,0.0,False,True,False,pushed along,,Speed(pushed along),2026-08-21 11:25:53.577000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Seventy Eight Team,4,9,False,Pass,99,0.0,False,True,False,led,,Speed(led),2026-08-21 11:25:53.580000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Fr Gilligansvoyge,2,10,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.580000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,One Way Traffic,2,11,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.580000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Sampoet,2,12,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.583000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Tullabrack Lad,2,13,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.583000
2026-08-21,19:05,Kilbeggan,19:05 KILBEGGAN,Zolpharine,2,14,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.587000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,On Target,4,1,True,Tier 1 EW,99,0.0,False,True,False,"pushed along, prominent","EW,B2L,WIN","Speed(pushed along, prominent)",2026-08-21 11:25:53.590000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,Al Jabbar,2,2,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.590000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,Astabuen,2,3,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.590000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,Majestic Jude,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.590000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,Nidal,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.593000
2026-08-21,14:35,Newmarket,14:35 NEWMARKET,Moheebb,0,6,False,Pass,99,0.0,True,True,False,prominent,,"Speed(prominent), Discipline",2026-08-21 11:25:53.597000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Patrol,4,1,True,Tier 1 EW,99,0.0,False,True,False,pushed along,"EW,B2L,WIN",Speed(pushed along),2026-08-21 11:25:53.600000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Rizal,4,2,True,Tier 1 EW,99,0.0,False,True,False,"kept on, headway","EW,B2L,WIN","Speed(kept on, headway)",2026-08-21 11:25:53.600000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Parisian Scholar,2,3,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.600000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Zurna,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.600000
2026-08-21,16:45,York,16:45 YORK,Oklahoma,4,1,True,Tier 1 EW,99,0.0,False,True,False,"led, pushed along","EW,B2L,WIN","Speed(led, pushed along)",2026-08-21 11:25:53.603000
2026-08-21,16:45,York,16:45 YORK,Benjamin Hornigold,2,2,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.610000
2026-08-21,16:45,York,16:45 YORK,Dover Street,2,3,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.610000
2026-08-21,16:45,York,16:45 YORK,Galipi,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.613000
2026-08-21,16:45,York,16:45 YORK,Game Character,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.617000
